title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg),total_time,time_score_norm,health_score_norm
Prawn jalfrezi,10,22,34,Indian,seafood,shrimp,0,0,0,0,1,0,401.67,7.48,0.84,70.41,60.26,24.23,88.2,676.21,18.29,6.09,0.98,23.49,396.36,1.51,1161.4,2.18,141.77,0.21,4.68,10.15,2.48,0.41,0.74,5.0,0.78,27.74,177.52,75.79,96.84,971.6,0.0,32,96.0,34.0
Crab curry,30,75,46,Indian,seafood,crabmeat,0,0,0,0,1,0,554.28,35.61,13.23,31.44,24.08,10.48,54.6,1458.89,30.22,32.44,0.44,54.46,418.56,0.82,855.04,1.23,115.38,0.16,4.71,7.36,8.71,0.19,1.53,4.41,11.78,25.63,172.06,385.76,81.98,1078.43,0.0,105,84.0,46.0
South African Bobotie (Beef Curry Casserole),10,65,12,African,other,meatballs,0,0,0,0,0,1,618.26,42.97,18.61,25.3,22.87,5.45,180.39,590.48,32.28,7.63,0.7,32.61,361.89,1.28,760.77,0.38,49.94,0.43,1.22,2.43,7.04,0.26,0.2,4.59,3.57,4.62,137.46,43.14,6.25,414.41,0.84,75,89.0,12.0
Homemade Massaman Curry,20,30,16,Thai,chicken,chicken breast,1,0,0,0,0,0,360.34,20.16,11.67,27.96,23.86,7.35,36.29,359.81,20.48,10.35,0.82,22.92,295.14,1.42,920.8,0.94,86.0,0.13,0.96,4.1,1.37,0.18,0.36,2.29,0.17,4.71,50.04,43.86,9.74,4156.59,0.0,50,93.0,16.0
Sweet & hot prawn & pineapple curry,15,15,15,Indian,seafood,shrimp,0,0,0,0,1,0,273.32,13.61,10.9,29.64,25.2,18.06,94.5,615.95,13.26,2.9,0.48,26.45,274.75,0.68,562.41,1.88,72.71,0.09,2.08,4.43,1.5,0.16,0.48,2.99,0.84,8.45,93.25,60.6,107.72,518.55,0.0,30,96.0,15.0
Thai red curry,15,20,30,Indian,chicken,chicken thighs,1,0,0,0,0,0,708.71,51.55,39.07,15.31,14.3,3.09,214.7,936.25,48.98,14.31,1.17,53.53,621.85,3.12,1062.71,1.66,163.16,0.42,0.5,1.0,4.67,0.26,0.59,8.95,1.49,11.74,92.55,44.48,21.21,3132.81,0.0,35,95.0,30.0
Thai Salmon Green Curry,10,20,24,Indian,seafood,salmon,0,0,0,0,1,0,385.18,32.1,22.54,12.54,7.77,5.92,31.18,416.98,16.22,5.91,0.69,29.14,268.23,1.58,826.86,1.16,81.21,0.31,1.41,4.77,1.39,0.22,0.48,3.09,1.82,87.05,76.95,81.64,83.31,1901.72,0.0,30,96.0,24.0
Curry Chicken Salad,20,10,29,Indian,chicken,chicken breast,1,0,0,0,0,0,419.69,18.88,8.47,13.0,9.42,2.18,149.35,411.33,51.73,24.22,1.8,75.14,564.03,3.41,1089.01,0.6,101.72,0.38,3.36,3.58,1.96,0.19,0.25,2.06,0.5,8.16,75.84,28.33,5.34,221.05,0.25,30,96.0,28.999999999999996
Chinese Curry Puffs with Beef,105,45,1,Chinese,beef,ground chuck,0,0,0,0,0,1,220.04,15.39,4.55,13.76,12.97,0.54,17.89,246.72,6.58,2.29,0.11,10.54,62.47,0.14,115.33,0.2,11.73,0.12,0.4,0.79,1.25,0.12,0.06,1.52,0.55,5.53,14.01,25.1,0.0,0.0,0.0,150,77.0,1.0
Mom’s Dairy-Free Curry Chicken,15,90,18,Indian,chicken,chicken breast,1,0,0,0,0,0,382.27,13.44,3.2,24.23,23.51,23.36,120.53,415.18,40.61,19.76,1.43,64.13,410.66,2.73,740.89,0.12,56.21,0.21,2.97,0.72,1.25,0.14,0.07,1.18,0.38,8.17,20.83,9.85,2.52,549.94,0.19,105,84.0,18.0
