,title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg)
306,Thai green chicken curry,25,30,16,Indian,chicken,chicken thighs,1,0,0,0,0,0,272.57,9.19,2.51,5.83,5.36,3.01,190,537.96,39.1,11.34,0.91,45.65,380.09,2.41,537.77,0.27,57.77,0.36,0.38,0.46,3.15,0.18,0.13,2.32,1.3,14.1,41.81,15.06,1.43,1926.18,0
307,Brinjal Curry (Indian Eggplant),30,75,32,Indian,,,0,0,0,0,0,0,277.82,15.48,9.62,33.1,22.74,15.02,0,834.65,6.49,171.67,0.25,6.16,106.76,0.65,626.64,0.87,59.86,0.12,0.82,10.36,0.76,0.15,0.29,1.89,0,8.85,114.91,1786.14,304.97,979.62,0
308,Turkey curry,5,15,19,Indian,other,whole turkey,0,0,0,0,0,1,279.49,8.13,1.57,37.15,31.89,12.98,38.96,255.58,16.26,6.3,0.82,12.84,194.42,1.02,859.72,0.43,59.8,0.21,2.88,5.26,1.57,0.2,0.36,2.9,0.65,12.69,83.71,40.66,54.06,1553.15,0.16
309,Vegan Coconut Curry Lentil Soup,15,0,31,Indian,,,0,0,0,0,0,0,251.56,9.18,7,31.75,19.81,5.73,0,949.74,13.23,3.64,0.33,3.15,238.87,0.88,659.12,0.77,62.17,0.16,0.89,11.95,2.02,0.32,0.34,4.48,0.16,12.04,69.29,175.33,31.53,4592.71,0
310,Vegan Curry Chickpea Salad Collard Wraps,30,0,47,Indian,,,0,0,0,0,0,0,272.28,12.5,1.9,34.64,26.72,10.54,0,690.47,9.76,1.34,0.67,7.63,241.78,0.6,435.26,1.24,74.87,0.12,0.84,7.92,1.95,0.27,0.58,2.89,0,63.48,105.21,70.63,14.29,3559.57,0
311,Curried Egg Tartines,-1,-1,9,,,,0,0,0,0,0,0,506.3,41.51,8.01,17.21,15.7,1.86,383.76,1132.34,16.09,0.42,0.26,32.87,223.28,1.69,257.59,0.19,24.63,0.5,4.06,1.51,1.53,0.07,0.12,2.57,0.92,97.55,84.29,70.47,30.06,1558.3,2.06
312,"Tofu, butternut & mango curry",10,25,57,Indian,,,0,0,0,0,0,0,459.91,15.89,5.35,66.92,57.17,14.96,0,616.72,18.02,5.46,0.74,4.18,298.89,1.11,1445.03,2.09,215.29,0.4,5.65,9.75,3.35,0.31,0.56,7.03,0,518.46,301.17,301.46,103.86,20960.37,0
313,Beef & beetroot curry,30,170,32,Indian,,,0,0,0,0,0,0,819.41,58.32,20.02,26.45,20.38,16.33,177.58,637.88,47.01,11.6,1.07,41.04,492.29,1.59,1415.16,1.4,115.18,0.47,4.32,6.07,11.37,0.2,0.37,8.49,5.36,9.46,136.76,164.37,23.14,231.22,0.25
314,Pork & chickpea curry,20,135,42,Indian,pork,pork shoulder,0,0,0,1,0,0,245.35,9.45,3.1,13.94,10.93,6.94,78.34,245.9,25.79,6.87,0.75,35.88,293.55,1.25,771.02,0.39,51.68,0.48,1.28,3.02,4.05,1.11,0.29,3.14,0.96,6.16,66.71,37.41,47.29,1160.43,0
315,15-Minute Thai Curry For One,5,10,29,Thai,chicken,whole chicken,1,0,0,0,0,0,810.3,56.96,42.93,61.62,51.14,1.34,40.82,146.72,22.69,8.73,0.61,8.64,436.57,1.54,956,3.06,183.47,0.25,0.24,10.49,3.23,0.43,0.65,8.45,0.17,25.74,121.38,90.02,24.82,11800.3,0
316,Vegan Pumpkin Curry,10,25,63,Indian,,,0,0,0,0,0,0,470.65,31.54,26.46,44.5,32.82,16.29,0,845.2,13.11,4.7,0.79,5.81,357.12,1.91,1575.16,1.98,159.89,0.49,3.15,11.69,2.38,0.4,0.59,7.63,0,180.74,203.94,196.36,189.82,23173.45,0
317,Green Apple Curry,5,40,0,Indian,,,0,0,0,0,0,0,131.48,1.78,0.77,31.32,25.71,22.36,2.69,599.17,1.09,0.3,0.14,0.85,36.63,0.14,268.37,0.24,19.75,0.06,1.05,5.62,0.25,0.05,0.1,1.22,0,7.3,37.03,12.32,9.94,160.91,0
318,Japanese Curry With Winter Squash and Mushrooms,-1,-1,21,,,,0,0,0,0,0,0,430.23,24.52,9.26,50.98,39.92,11.87,30.53,33.17,8.15,4.35,0.59,11.36,179.37,1.33,847.56,1.21,72.95,0.29,4.64,11.06,1.71,0.24,0.34,6.2,0,38.3,119.82,105.26,16.7,4221,0.44
319,Zucchini and Potato Chickpea Curry,10,30,23,Indian,,,0,0,0,0,0,0,472.17,20.05,14.29,59.78,50.05,5.28,0,654.23,10.54,2.48,1.17,3.13,239.5,1.13,1029.82,1.77,96.84,0.16,0.64,9.73,1.75,0.25,0.41,3.17,0,8.88,90.37,79.06,45.76,1164.22,0
320,Vegan Thai curry,10,40,65,Thai,,,0,0,0,0,0,0,990.23,52.02,37.29,118.31,99.13,21.85,0,1211.22,24.75,6.33,0.78,68.24,531.39,2.06,1708.3,3.46,228.62,0.35,2.39,19.18,3.87,0.4,1.22,9.15,0,98.35,138.14,172.18,83.5,2399.5,0
321,Instant Pot Coconut Curry Chicken,20,0,35,Indian,chicken,chicken breast,1,0,0,0,0,0,399.4,28.17,22.48,12.23,10.09,5.23,72.57,244.89,27.99,13.18,1.11,37.16,375.35,1.97,951.2,1.23,110.07,0.21,1.49,2.14,1.59,0.16,0.33,5.23,0.23,147.28,77.54,99.91,67.11,5314.51,0
322,Chicken Peanut Curry,15,45,53,Indian,chicken,chicken pieces,1,0,0,0,0,0,637.2,34.82,6.5,24.03,19.9,4.48,161.89,1467.45,58.65,24.02,1.22,43.41,541.17,2.84,888.8,0.97,129.58,0.58,5.9,4.13,4.75,0.38,0.36,5.06,0.87,49.47,97.26,86.8,13.64,450.96,0.23
323,Keralan hake curry,10,55,14,Indian,seafood,hake,0,0,0,0,1,0,333.16,28.5,21.88,19.36,15.05,6.11,0.62,78.59,5.22,1.71,0.22,9.3,153.23,0.39,581.99,1.14,61.11,0.05,1.02,4.32,1.01,0.09,0.41,3.15,0,5.09,49.01,46.75,127.05,380.1,0
324,Dairy-Free Sweet Potato Curry Soup,10,18,11,Indian,,,0,0,0,0,0,0,301.13,23.57,19.31,22.8,17.97,7.5,0,348.71,3.64,1.14,0.22,6.28,136.03,0.75,538.11,1.14,57.35,0.05,0.72,4.83,0.93,0.1,0.38,2.23,0,3.15,50.58,31.08,7.19,9440.16,0
325,Speedy Authentic Thai Curry,-1,-1,21,Thai,pork,pork steaks,0,0,0,1,0,0,351.51,21.48,18.29,31.9,30.71,5.97,0.3,57.2,11.8,1.78,0.22,0,199.59,0.27,784.99,0.83,139.27,0.08,0.35,1.19,0.69,0.25,0.61,7.32,0,11.93,113.89,25.02,51.86,3919.34,0
326,Curry Leaves Potato Chips,-1,-1,59,Indian,,,0,0,0,0,0,0,160.97,1.37,0.17,34.5,30.5,2.81,0,117.7,4.21,25.55,0.38,1.25,133.2,0.6,986.71,0.32,48.64,0.08,0.53,4,0.74,0.18,0.3,1.72,0,7.79,32.61,273.59,58.32,357.36,0
327,Easy Thai Red Curry with Chicken - Simple & Authentic,15,20,28,Indian,chicken,chicken breast,1,0,0,0,0,0,458.25,24.45,19.51,27.89,23.34,6.42,72.57,920.5,27.94,13,1.17,39.04,342.32,1.98,882.3,1.08,88.22,0.26,1.71,4.55,1.48,0.2,0.19,2.64,0.23,121.05,84.6,98.09,53.94,10332.9,0
328,Instant Pot Curried Butternut Squash Soup,15,25,20,,,,0,0,0,0,0,0,222.77,14.32,10.63,25.36,20.44,6.42,0,446.73,3.27,2.31,0.32,3.82,116.21,0.74,744.25,0.9,79,0.05,2.87,4.91,0.69,0.19,0.27,2.81,0,5.01,99.44,55.87,36.49,16248.75,0
329,Sweet potato & coconut curry,20,510,47,Indian,,,0,0,0,0,0,0,495.25,26.3,14.01,61.5,51.73,16.22,0,155.56,9.28,4.03,0.84,2.45,243.85,2.14,1304.41,1.44,118.03,0.26,4.23,9.77,1.62,0.27,0.65,5.18,0,35.08,115.67,79.45,110.72,26092.09,0
330,No-fry Thai curry,-1,-1,54,Thai,chicken,chicken breast,1,0,0,0,0,0,619.81,50.13,43.41,38.96,27.62,15.27,0.64,41.63,11.86,4.09,0.4,23.71,333.35,0.73,922.37,2.39,117.83,0.17,1.46,11.34,2.69,0.3,0.74,5.5,0,58.38,91.87,121.18,115.5,4959.83,0
331,Green Curry with Fish,10,20,75,Indian,seafood,cod fillets,0,0,0,0,1,0,440.01,25.28,20.86,20.23,13.95,6.46,73.14,565.3,38.74,5.91,0.89,60.96,589.54,1.54,1690.94,1.39,167.27,0.4,2.58,6.28,2.3,0.33,0.43,6.27,1.57,181.55,160.05,156,156.97,2688.92,1.53
332,Panang Curry,-1,-1,37,Indian,pork,pork tenderloin,0,0,0,1,1,0,468.29,14.85,4.94,39.92,37.45,9.1,108.5,1268.65,41.95,12.6,1.47,74.98,511.92,1.67,871.94,0.62,92.46,0.62,1.43,2.48,3.85,1.69,0.34,3.73,0.9,28.29,68.99,21.12,24.27,3566.27,0.51
333,Curried tofu wraps,20,25,23,,,,0,0,0,0,0,0,405.06,20.99,2.32,27.58,20.3,10.66,0.4,64.66,30.46,0.71,0.37,2.09,94.05,0.47,482.06,0.42,32.65,0.16,1.45,7.28,0.63,0.13,0.08,5.18,0.12,53.23,507.14,39.44,86.73,2646.61,0
