,title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg)
177,Vegan Cauliflower Curry with Chickpeas & Spinach,20,25,50,Indian,,,0,0,0,0,0,0,470.95,31.74,25.35,42.39,29.32,9.1,0,1736.16,14.76,2.64,1.24,5.4,351.9,2.47,1536.45,2.59,156.41,0.27,1.42,13.07,2.48,0.26,0.6,7.63,0,194.74,181.83,275.13,151.66,3182.77,0
178,Super-quick fish curry,5,10,6,Indian,seafood,fish,0,0,0,0,1,0,78.56,1.21,0.3,15.7,12.88,6.93,0.75,385.42,2.82,1.28,0.2,1,44.45,0.33,351.51,0.24,24.01,0.06,1.26,2.82,0.34,0.09,0.2,1.49,0,5.47,54.18,20.21,12.52,912.23,0
179,Simple squash & lime pickle curry,20,45,21,Indian,,,0,0,0,0,0,0,311.93,21.81,18.78,31.14,25.23,9.7,0,193.85,4.29,2.93,0.33,4.3,145.26,0.92,899.48,1.27,94.77,0.04,2.78,5.91,0.91,0.21,0.37,3.24,0,2.12,123.46,67.16,43.03,21901.13,0
180,Sweet Potato Chickpea Coconut Curry,15,20,29,Indian,,,0,0,0,0,0,0,318.8,17.81,12.18,35.56,27.95,6.18,0,458.47,7.81,1.2,0.62,3.17,174.44,0.97,638.1,1.75,83.58,0.09,1.21,7.62,1.29,0.12,0.41,4.78,0,53.06,158.64,62.36,11.17,12071.87,0
181,Clean eating chickpea curry,5,35,94,Indian,,,0,0,0,0,0,0,254.74,9.06,4.64,35.86,24.63,7.51,2.6,730.03,12.77,2.44,1.1,5.31,225.03,0.97,1057.88,2.18,127.35,0.25,3.12,11.22,1.96,0.22,0.59,6.1,0.07,329.47,201.29,187.45,32.7,6597.07,0
182,Stir-fry green curry beef with asparagus & sugar snaps,10,10,25,Indian,beef,steak,0,1,0,0,0,0,344.75,18.32,7.8,13.19,9.72,3.74,76.25,405.46,30.8,10.38,0.99,35.41,331.6,1.28,751.09,0.33,55.7,0.29,2.77,3.47,5.84,0.23,0.3,4.46,1.5,67.26,93.76,80.49,33.2,1613.49,0
183,Madras Beef Curry,-1,-1,9,Indian,,,0,0,0,0,0,0,370.05,23.29,8.8,18.53,15.73,7.75,80.51,505.03,22.13,6.22,0.58,19.58,228.87,0.96,662.62,0.45,47.34,0.23,2.05,2.8,5.2,0.14,0.29,4.01,2.43,12.2,72.98,26.27,13.38,300.47,0
184,Easy potato curry,20,1485,59,Indian,,,0,0,0,0,0,0,228.61,1,0.2,50.43,43.74,6.32,0.44,563.99,6.21,2.92,0.79,1.19,157.26,0.77,1174.68,0.57,64.22,0.1,0.58,6.69,0.88,0.22,0.31,2.3,0,10.4,48.31,50.49,58.28,955.83,0
185,Jamaican Curry Chicken,15,30,61,Indian,chicken,chicken breast,1,0,0,0,0,0,399.03,8.82,1.77,46.24,37.45,6.38,72.57,301.42,36.02,18.34,1.64,38.54,492.7,2.59,1748.84,0.71,104.15,0.35,1.71,8.8,2.2,0.36,0.47,4.06,0.46,29.78,83.68,95.23,79.83,5465.26,0
186,Thai prawn & squash curry,20,40,27,Indian,seafood,shrimp,0,0,0,0,1,0,403.76,25.43,21.9,33.76,27.03,12.24,96.6,449.86,17.49,3.37,0.37,7.88,309.81,1.04,1166.89,1.54,138.93,0.08,2.88,6.74,1.95,0.24,0.7,4.07,0,13.81,165.48,86.98,47.65,21133.06,0
187,Veggie Thai red curry,30,20,40,Indian,,,0,0,0,0,0,0,454.19,27.56,21.86,45.3,34.07,18.44,0,1043.69,15.76,5.32,0.84,13.21,292.97,1.94,1301.15,2.04,116.48,0.39,1.71,11.23,1.96,0.28,0.74,5.72,0,49.69,167.21,119.93,170.9,2273.45,0
188,Creamy shrimp curry,10,20,29,Indian,seafood,shrimp,0,0,0,0,1,0,824.84,38.36,23.35,73.01,68.99,8.13,386.32,1141.45,47.83,34.38,0.2,30.71,559.48,1.02,765.91,0.81,94.8,0.7,1.13,4.02,3.53,0.88,0.84,5.11,0.26,4,244.74,495.32,54.4,1751.61,1.46
189,Trinidadian Chicken Potato Curry,-1,-1,17,Indian,chicken,chicken thighs,1,0,0,0,0,0,544.32,33.76,9.67,25.39,21.4,2.26,188.92,453.04,34.6,10.28,1.1,37.67,392.13,2.34,959.75,0.47,74.28,0.31,1.01,3.99,2.96,0.26,0.28,3.28,1.23,15.22,62.14,34.36,27.38,234.02,0.19
190,Thai Green Curry with Chicken,10,20,20,Indian,chicken,chicken breast,1,0,0,0,0,0,596.62,36.53,22.7,55.3,48.4,9.45,18.08,847.45,16.55,6.89,0.67,24.06,296.03,1.45,818.76,1.85,107.19,0.17,2.37,6.9,2.01,0.21,0.53,3.37,0.1,21.97,80.7,79.64,102.41,3432.68,0
191,Coconut Chickpea Curry with Peanut Butter,15,25,40,Indian,,,0,0,0,0,0,0,421.48,31.82,17.62,29.48,21.83,8.5,0,737.47,10.95,3.43,0.82,2.89,244.16,0.86,784.65,1.84,111.24,0.19,3.23,7.65,1.8,0.15,0.44,5.02,0,68.8,102.94,110.77,76.62,8986.34,0
192,Thai pork & peanut curry,10,30,17,Indian,pork,pork tenderloin,0,0,0,1,0,0,389.48,19.18,9,26.86,24.16,8.01,65,445.84,27.17,9.8,0.93,32.71,349.86,1.46,635.56,0.47,73.39,0.41,1.78,2.7,2.71,1.06,0.21,2.2,0.52,16.09,50,30.53,8.46,2557.76,0.3
193,Beef curry,20,150,16,Indian,beef,steak,0,1,0,0,0,0,519.64,30.88,10.83,30.78,26.51,8.53,86.36,588.7,31.86,8.17,0.77,32.8,259.13,0.34,888.6,0.75,65.11,0.44,2.66,4.27,7.09,0.24,0.36,4.44,2.08,14.62,96.25,26.34,13.89,380.7,0
194,Curried Chickpea Salad,10,10,22,,,,0,0,0,0,0,0,267.03,11.41,1.54,35.29,27.24,11.26,2.93,835.68,10.12,0.64,0.79,4.12,198.44,0.62,471.47,1.67,69.5,0.12,0.38,8.05,1.58,0.1,0.48,2.97,0.08,15.87,110.5,55.16,2.37,229.45,0
195,Coconut fish curry,15,15,18,Indian,seafood,belacan,0,0,0,0,1,0,430.71,24.56,21.23,22.1,18.08,8.42,102.8,213.29,35.06,1.19,0.2,37.13,415.15,0.38,993.01,1.34,73.78,0.04,0.63,4.02,1.76,0.07,0.57,4.3,0,6.9,136.84,31.02,28.33,146.53,0
196,Sweet Potato Coconut Curry,15,20,20,Indian,,,0,0,0,0,0,0,279.87,9.97,5.23,43.43,37.89,10.87,1.32,948.85,4.47,1.99,0.45,2.92,118.11,1,797.14,0.63,52,0.15,1.81,5.54,0.83,0.18,0.29,2.05,0,12.94,63.6,40.52,34.91,13059.6,0
197,Curried Zucchini Soup,15,15,5,,,,0,0,0,0,0,0,84.63,5.05,3.95,10.13,7.69,5.54,0,1213.39,2.3,0.85,0.38,0,69.02,0.28,459.2,0.36,31.85,0.23,0.4,2.44,0.54,0.09,0.1,0.91,0,7.6,37.63,51.38,29.67,780.34,0
198,Quick and Easy Curry Rice,5,30,7,Indian,,,0,0,0,0,0,0,265.05,0.66,0.16,57.52,54.7,3.6,0,1019.97,6.09,1.56,0.19,10.11,107.29,0.68,181.67,0.87,28.03,0.07,0.26,2.82,1.06,0.12,0.2,1.26,0,6.86,33.49,25.36,11.52,525.61,0
199,Kofat Curry/meat Ball Curry,-1,-1,20,Indian,,,0,0,0,0,0,0,302.88,13.16,2.01,7.6,6.05,3.39,109.32,244.32,37.16,17.56,1.34,54.45,399.71,2.54,765.05,0.2,58.74,0.22,1.81,1.55,1.32,0.15,0.1,1.2,0.41,6.82,68.04,19.87,6.6,185.67,0.19
200,Pressure Cooker Thai Sweet Potato and Kale Chickpea Curry,10,15,47,Indian,,,0,0,0,0,0,0,469.44,20.81,14.74,57.77,46.54,6.36,0,556.83,9.85,1.89,0.89,3.33,201.22,1.46,761.74,1.96,92,0.27,1.13,11.23,1.53,0.23,0.4,3.21,0,200.17,213.78,75.18,51.25,21953.44,0
201,Goat curry,25,180,47,Indian,,,0,0,0,0,0,0,353.65,9.33,5.1,52.62,40.43,18.62,19.25,384.64,19.67,9.24,0.66,9.17,467.45,1.4,1397.47,1.24,141.01,0.48,3.17,12.19,2.78,0.45,0.74,6.68,0.12,18.33,364.72,310.97,40.22,757.4,2.28
202,Butternut Squash Curry (Paleo + Whole30),25,20,22,Indian,chicken,chicken breast,1,0,0,0,0,0,266.46,11.74,7.94,14.89,11.35,4.71,72.57,666.69,26.86,13.1,1.07,37.34,309.45,2.01,801.48,0.52,75.89,0.18,1.59,3.53,1.13,0.17,0.18,2.97,0.23,18.7,81.24,44.32,43.39,6154.28,0
203,Curry Chicken Salad,35,0,12,Indian,chicken,shredded chicken,1,0,0,0,0,0,627.76,51.67,9.16,2.31,1.24,0.41,128.52,560.34,36.03,11.15,0.61,36.26,292.97,1.46,386.55,0.17,38.85,0.23,2.51,1.07,2.35,0.1,0.12,2.9,0.47,94.91,38.59,14.57,0,140.05,0
204,The ultimate makeover: Thai green chicken curry,35,20,31,Indian,chicken,chicken breast,1,0,0,0,0,0,620.47,28.13,19.16,66.71,62.22,5.12,54.24,478.47,27.61,11.5,0.95,39.07,404.75,2.3,1023.7,2.04,141.3,0.25,2.45,4.48,2.22,0.26,0.54,7.47,0.18,100.32,139.98,65.79,56.45,855.3,0
205,Coconut Turkey Curry In a Hurry,10,20,18,Indian,other,ground turkey,0,0,0,0,0,1,387.68,25.51,16.88,18.37,16.05,2.76,49.9,1210.64,25.69,10.22,1.05,22.53,340.29,1.22,740.6,1.09,93.64,0.19,2.1,2.32,2.55,0.13,0.33,4.93,0.46,65.95,57.99,67.44,42.72,2082.66,0.36
206,Rajma Masala (North Indian Kidney Bean Curry),15,60,4,Indian,,,0,0,0,0,0,0,169.43,10.11,0.79,17.6,12.77,4.36,0,460.4,4.41,1.09,0.21,1.78,86.88,0.35,442.62,0.38,35.86,0.09,3.06,4.83,0.71,0.09,0.26,2.43,0,14.35,47.07,53.24,10.01,668.46,0
207,Chicken Coconut Curry,-1,-1,37,Indian,chicken,chicken breast,1,0,0,0,0,0,552.28,29.37,15.84,19.04,16.9,5.34,154.77,473.82,52.96,25.42,1.99,75.22,588.81,3.45,1244.42,1.02,120.56,0.32,1.86,2.14,1.91,0.25,0.36,5.49,0.46,57.04,115.21,80.17,20.55,3027.35,0.23
208,Coconut Curry Greens with Runny Eggs,-1,-1,71,Indian,,,0,0,0,0,0,0,472.83,33.46,21.25,30.98,20.67,5.79,279,406.05,22.35,46.94,0.93,28.57,439.25,1.78,2142.37,3.8,296.1,1.08,7.3,10.3,3.48,0.36,0.76,13.5,0.67,1508.22,518.84,1037.59,246.7,31154.07,1.5
209,15-minute prawn curry,5,10,15,Indian,seafood,shrimp,0,0,0,0,1,0,321.62,24.88,20.94,10.85,7.79,6.3,126,954.85,16.97,2.84,0.27,36.34,356.08,0.53,541.12,1.17,86.82,0.07,2.04,3.06,1.78,0.07,0.48,2.76,1.13,127.39,109.2,87.39,13.2,3844.75,0
210,Coconut Curry Chicken + Weekly Menu,10,20,23,Indian,chicken,chicken breast,1,0,0,0,0,0,448.14,30.25,23.55,15.16,10.89,8.97,87.09,596.94,32.19,15.48,1.26,49.83,400.08,2.3,917.86,0.98,85.69,0.19,1.36,4.27,1.63,0.15,0.31,2.84,0.28,6.14,58.22,48.76,69.4,3012.94,0
211,Easy Eggplant Curry,-1,-1,9,Indian,,,0,0,0,0,0,0,69.69,0.77,0.11,15.64,9.24,8,0,399.43,2.76,1.52,0.25,1.27,70.86,0.53,584.56,0.57,38.07,0.08,0.91,6.41,0.51,0.11,0.2,1.15,0,10.91,44.47,47.48,15.15,640.87,0
212,Thai red salmon curry,20,25,95,Indian,seafood,salmon,0,0,0,0,1,0,611.71,39.44,21.43,27.41,20.86,11.63,93.5,445.51,40.43,15.07,1.75,64.01,532.3,4.04,1537.35,1.23,136.89,0.78,1.57,6.55,2.27,0.63,0.84,7.68,5.41,28.97,154.94,123.74,94.37,3708.79,0
213,Lentil Curry,15,25,27,Indian,chicken,chicken breast,1,0,0,0,0,0,430.37,23.91,16.16,33.94,19.11,5.1,24.19,613.92,23.75,8.08,0.62,20.39,391.3,1.64,944.92,1.43,98.03,0.18,0.87,14.84,2.86,0.41,0.52,4.97,0.19,6.53,60.81,207.38,7.32,3561.24,0
214,Slow-Cooked Pepper and Paneer Curry,-1,-1,15,Indian,,,0,0,0,0,0,0,526.24,40.14,17.97,25.65,18.65,13.02,74.84,814.78,19.97,2.54,0.62,1.25,109.99,0.64,861.3,0.56,50.92,0.17,4.91,7.01,0.89,0.18,0.19,2.1,0,29.53,608.55,95.47,186.35,5440.36,0
